captured_at,cluster,notes,id,doi,title,resource_type,publication_date,version,views,unique_views,downloads,unique_downloads,record_url,status
2026-06-11T06:06:24-05:00,CTF,Cognitive Trinity Framework record,19742665,10.5281/zenodo.19742665,"The Domain of Non-Existence: Formal Ontology, Structured Discovery, and Impossible-First Reasoning",publication,2026-04-24,,38,31,16,15,https://zenodo.org/records/19742665,ok
2026-06-11T06:06:24-05:00,CTF,Cognitive Trinity Framework record,19742675,10.5281/zenodo.19742675,Cosmic Gradient Energy Model (CGEM): A Testable Scalar–Tensor Extension of Inhomogeneous Cosmology,publication,2026-04-24,,26,22,25,24,https://zenodo.org/records/19742675,ok
2026-06-11T06:06:24-05:00,CTF,Cognitive Trinity Framework record,19743990,10.5281/zenodo.19743990,The Unification Method: A Structured Framework for Resolving Conceptual Opposition,publication,2026-04-24,,23,18,10,9,https://zenodo.org/records/19743990,ok
2026-06-11T06:06:24-05:00,CTF,Cognitive Trinity Framework record,19744183,10.5281/zenodo.19744183,Morality and Justice as Optimization within Value Systems,publication,2026-04-24,,36,27,20,15,https://zenodo.org/records/19744183,ok
2026-06-11T06:06:24-05:00,CTF,Level Ascension,20014307,10.5281/zenodo.20014307,Level Ascension: A Formal Cognitive-Structural Operation and Its Generativity Across Four Domains,publication,2026-05-03,,36,32,13,10,https://zenodo.org/records/20014307,ok
2026-06-11T06:06:24-05:00,CTF,Cognitive Trinity Framework connected record,20117067,10.5281/zenodo.20117067,"Structural Unification and Its Limits: An Observation Journal Across Physics, Philosophy, and Everyday Decisions",publication,2026-05-11,,30,27,11,10,https://zenodo.org/records/20117067,ok
2026-06-11T06:06:24-05:00,CTF,Cognitive Trinity Framework connected record,20218366,10.5281/zenodo.20218366,"A Structural Morality Model: Value Optimization, Compromise, and the Non-Terminal Moral System",publication,2026-05-15,0.4,23,20,10,9,https://zenodo.org/records/20218366,ok
2026-06-11T06:06:24-05:00,CTF/DCM,Dimension Convergence Model,19956844,10.5281/zenodo.19956844,Dimension Convergence Model: An Information-Based Interpretation of Perceived Dimensionality,publication,2026-04-25,,61,44,46,33,https://zenodo.org/records/19956844,ok
2026-06-11T06:06:24-05:00,Formal Systems,Domain of Non-Existence,19501186,10.5281/zenodo.19501186,"The Domain of Non-Existence: A Minimal Structural Model of Possibility, Emergence, and Discovery",publication,2026-04-10,,14,12,10,7,https://zenodo.org/records/19501186,ok
2026-06-11T06:06:24-05:00,Formal Systems,Opposition-Load-Coupling or related formal model,19929769,10.5281/zenodo.19929769,A Minimal Structural Model of Opposition–Load–Coupling Induced Instability in Cognitive Systems,publication,2026-04-30,,33,30,22,17,https://zenodo.org/records/19929769,ok
