claim_id,paper_status,source_basis,key_output_columns,key_metric,value,paper_wording,caveat_or_limit
CL01,supported,C04 v2.3; C07 v2.2,"trigger_A_source,S_network,psi_extended",federation_c04_trigger_A_violations,0,"Federation Trigger A respected the source hierarchy in v0.7: no C04 S-threshold Trigger A was used for federation cases.","Simulation-level source-hierarchy check only."
CL02,supported_in_v0_7_regression,C07 v2.2,"psi_extended,psi_weight_profile,psi_w_regime,psi_s_weight_scale,trigger_A_source,collapse30_event_first_step,trigger_A_lead_to_collapse30","on_time_tpr;false_positive_rate;avg_lead_to_collapse30","1.0;0.0;8.175","The tested Psi_extended configuration detected federation collapse precursors with on-time TPR 1.0 and false-positive rate 0.0.","Do not claim deployment readiness or detector independence from stability signals."
CL02A,adversarial_measured_v0_7,C07 v2.2; reviewer adversarial request,"scenario=psi_stability_ablation,psi_s_weight_scale,trigger_A_before_collapse30,trigger_A_lead_to_collapse30","ablation_on_time_tpr;avg_ablation_lead","0.0;-4.1","The detector depends materially on the stability term and should be described as a stability-precursor detector.","Required caveat; not a blocker."
CL03,supported,C02 v2.1,"break_condition_margin,trigger_B_count,G_effective",avg_deadlock_trigger_B_count,93.366667,"The tested T-G loop maintained positive break-condition margins under the floor-regime implementation.","Does not prove all future parameterizations are safe."
CL04,supported,C00; C03/C08 v17,"sustained_ignition,collapse_share_peak",star_sustained_ignition_rate,0.666667,"Star topology remained unsafe under the tested assumptions.","Applies to tested assumptions and stress profiles."
CL05,context_dependent_unbalanced_tested,C00/C04; v18,"hub_*_balanced,hub_*_single_hub_failure,hub_*_unbalanced_*","all_hub_delta;single_hub_delta;unbalanced_primary_delta;unbalanced_secondary_delta;hub3_secondary_ignition","0.0;0.333333;0.333333;0.0;0.333333","Three hubs mitigate specific single-hub and unbalanced-primary failures but are not mesh equivalence.","Do not claim three hubs are universally safe."
CL06,measured,C05 v2.1,"scenario=mixed_hia_identity,final_I_mean,collapse_share_peak",mixed_hia_identity_peak_collapse,0.334444,"H/I/A identity formulas were preserved and measured in mixed-node scenarios.","Measured only; dedicated identity stress remains future work."
CL07,supported,C06; v0.3,"G_formal,G_effective,false_stability_steps,trigger_C_count",avg_governance_capture_false_stability_steps,59.433333,"Formal governance can mask ineffective governance in capture-like simulation conditions.","Scenario-designed detection evidence, not real-world governance validation."
CL08,supported,C08,"message_loss,phase_divergence,detected_collapse_share,collapse_share,async_false_stability_steps",avg_async_false_stability_steps,0.366667,"Async/message loss can create hidden-collapse behavior under tested conditions.","Magnitude is narrow; keep simulation-level wording."
CL09,impact_tested_v0_7,C03/C08,"actual_topology,detected_topology,reclassification_latency_steps,topology_wrong_monitoring_steps,topology_hidden_collapse_steps,topology_blind_no_trigger_steps,topology_false_stability_steps,max_wrong_monitoring_window","avg_latency;avg_wrong_monitoring;avg_hidden_collapse;avg_blind_no_trigger;avg_topology_false_stability;max_wrong_window","46.666667;46.666667;0.244444;0.0;0.0;65","Topology lag can overlap with hidden collapse; one tested condition produced a brief false-stability window.","Do not claim broad blind false stability across the matrix."
CL10,graded_stress_measured_v0_7,C02/C06/C08,"resource_budget,resource_exhaustion_step,resource_floor_steps,max_unmet_recovery_demand,max_routing_delay_loss","resource_exhaustion_rate_all_runs;stress_exhaustion_rate;pressure_exhaustion_rate;avg_stress_floor_steps;avg_routing_delay_loss","0.470115;1.0;1.0;100.273333;0.004152","Resource stress produced gradients in floor duration and routing-delay loss; pressure scenarios all exhausted.","Do not claim resource recovery is proven."
