record_id,cluster,notes
20499592,SOE Core,Meta-Governance Framework v4.4
20499579,SOE Core,Governance Architecture v0.5.2
20499518,SOE Core,Operation Layer v0.1.3
20499843,SOE Source Archive,Future-Concern Harvest Source Archive
20471382,SOE Simulations,Second and Third Grand Simulation Evidence Update
20471399,SOE Synthesis,Architecture Evidence Boundaries and Future-Concern Registry
20144235,SOE Simulations,Grand Simulation v0.7 Companion Archive
20147828,SOE Simulations,Simulation-Evidence Manuscript after Grand Simulation v0.7
20078764,SOE Prior,Earlier SOE working paper
20054302,SOE Simulation Program,Simulation Program foundational record
20066833,SOE Prior,Earlier SOE working paper
19984642,SOE/CTF Bridge,Earlier SOE or CTF-adjacent record
19754682,SOE Prior,Earlier SOE preprint
19742665,CTF,Cognitive Trinity Framework record
19742675,CTF,Cognitive Trinity Framework record
19743990,CTF,Cognitive Trinity Framework record
19744183,CTF,Cognitive Trinity Framework record
19956844,CTF/DCM,Dimension Convergence Model
20014307,CTF,Level Ascension
20117067,CTF,Cognitive Trinity Framework connected record
20218366,CTF,Cognitive Trinity Framework connected record
20218919,SOE Related,Structural Failure Modes in Civilizational Systems
20117489,SOE Simulations,Simulation-Constrained Dynamic Architecture for Governance Stability
20076951,Formal Systems,CAM extension of Domain of Non-Existence
20066770,SOE Related,Acceleration-Capacity Gap Model
19765767,SOE Simulations,Regime-dependent trust-mediated governance networks
19501186,Formal Systems,Domain of Non-Existence
19929769,Formal Systems,Opposition-Load-Coupling or related formal model
